tweet_id,user_id,username,created_at,text,retweet_count,favorite_count,followers_count,statuses_count,account_created_at,location,is_retweet,lang
1dfbe817-db2,2e0b41f5,langnicholas,2024-11-11 07:47:13,ghost voters found in vote tallies (297 suspicious),178,386,14,144,2014-10-15,Miami,False,es
44bf8ba6-38e,859557bb,christiankatherine,2024-11-14 03:08:59,Update: clean election in my precinct.,98,231,20,434,2015-05-19,Rural,False,en
afc89ad1-5e4,b4c8f344,gutierrezbrenda,2024-11-09 20:16:34,early voting numbers — observers reporting orderly process.,9,104,20,10722,2024-08-29,Philadelphia,False,es
30c15f38-f92,4730148a,zgamble,2024-11-03 08:21:06,Update: transparent count in my precinct.,107,173,293,437,2024-07-05,,False,en-US
5212387a-560,54d2a3b3,smithpamela,2024-11-14 02:44:18,Update: observers confirm fairness in my precinct. #VoteSafe,48,42,11,43314,2025-03-30,Houston,False,en
7a63b1b4-b50,cc45c36d,reidchristopher,2024-11-10 19:14:54,ALERT: poll watchers report across precincts — evidence points to fraud. #investigate,298,589,91,452,2019-10-10,Philadelphia,False,en-US
9d1bc21e-153,8434098f,justinsullivan,2024-11-08 13:23:51,Update: clean election in my precinct.,18,169,8,40520,2025-05-13,Philadelphia,True,en-US
97f83747-455,8a94d64c,richard68,2024-11-08 21:54:56,polling update — observers reporting orderly process. #Election2024,46,119,14,578,2016-09-26,,False,en-US
fd0c72db-eac,f5ebd86d,justincampbell,2024-10-30 22:33:32,turnout update — observers reporting orderly process.,75,212,2,961,2016-10-11,Philadelphia,False,en-US
a89c8fd6-02d,a04e8f72,rebeccapatrick,2024-11-15 05:10:29,polling update — observers reporting orderly process.,28,244,4,249,2016-03-01,Chicago,False,en
5522ea11-7b8,087ce3f1,mwest,2024-10-26 07:05:00,illegal votes found in vote tallies (315 suspicious),61,272,44,340,2010-11-16,Rural,True,en
77bebd25-a8c,048918a1,edwin89,2024-11-10 14:15:20,illegal votes found in vote tallies (495 suspicious),83,81,18,258,2018-08-27,Miami,False,en
dc135379-255,3403dad5,wrightcolleen,2024-11-09 20:25:39,Reports of ghost voters in several precincts. Must be investigated!,119,71,40,3156,2017-08-09,Houston,False,es
c7b07bba-abd,a399c02c,elizabethwilson,2024-10-28 15:21:38,Update: transparent count in my precinct.,84,219,221,15496,2016-07-26,Miami,False,es
0bb80ec6-575,8095bd10,ucobb,2024-11-10 19:43:54,counting ongoing — observers reporting orderly process. #VoteSafe,51,156,24,1345,2012-02-19,Rural,False,en
a0c5dfca-f5a,315fb146,ethanprice,2024-11-09 00:55:08,Update: observers confirm fairness in my precinct. #Election2024,9,143,4,632,2021-02-04,Miami,True,en
afab0129-16b,4ff6ce4e,hannamichael,2024-11-09 00:07:14,counting ongoing — official figures incoming.,39,89,347,2406,2009-09-06,Los Angeles,False,es
7d723e6e-bb5,758d368f,bennettcynthia,11/05/24 06:46 PM,counting ongoing — observers reporting orderly process.,62,214,9,786,2014-04-20,Rural,False,en-US
a10f8b6c-c85,1f5eb2ae,laurie88,2024-10-31 02:10:58,Reports of illegal votes in several precincts. Must be investigated!,91,333,57,1620,2020-05-17,Chicago,False,en
0f0b9bfe-af9,98f3a2d8,eric86,2024-11-09 01:20:46,Voter turnout steady in my area.,46,66,26,279,2021-09-07,Houston,False,en-US
023a279f-c3f,201507be,foxjames,2024-11-07 22:23:51,Update: observers confirm fairness in my precinct.,19,27,8,80,2012-03-15,Chicago,False,es
ebfa90e5-4e8,7a395005,slarson,2024-11-01 16:17:04,polling update — observers reporting orderly process.,99,159,50,227,2020-04-05,Houston,False,en
91b2ebca-ab3,7d862595,anthonyfleming,2024-11-12 07:32:01,Update: clean election in my precinct. https://news.site/article,37,206,68,620,2016-06-14,Philadelphia,False,es
d7499199-ff6,d9a69a95,ryanlee,2024-11-03 10:21:01,early voting numbers — observers reporting orderly process.,13,221,73,3085,2020-08-02,New York,False,es
569f8f22-283,0292074e,josephfisher,2024-11-01 10:09:11,early voting numbers — official figures incoming.,50,69,5,2859,2013-04-28,Houston,False,en
2814e27d-3e6,6181a911,krogers,2024-11-06 18:50:05,polling update — observers reporting orderly process.,19,235,7,76,2023-10-16,Houston,False,es
4f439b66-069,9fe71c8d,zachary59,2024-11-03 11:26:53,Update: transparent count in my precinct.,102,30,53,16303,2010-06-20,,False,en
42327067-0ad,7ed611fb,gregarnold,2024-10-27 04:49:56,Update: clean election in my precinct.,64,134,13,80,2016-11-01,Miami,False,en-US
94e59ede-f6b,2c5e4955,brendawoods,2024-11-03 02:47:49,Voter turnout steady in my area.,70,26,364,301,2009-08-04,Chicago,False,en
174f1341-83f,3eafd990,angela71,2024-11-10 11:09:40,Update: trust the process in my precinct.,16,20,72,796,2020-11-09,Miami,False,es
35fe23f2-315,c2b0b4ed,dhenry,2024-11-11 23:49:24,ALERT: counting ongoing across precincts — evidence points to fraud. #investigate,74,436,214,85,2022-11-20,Houston,False,en-US
da2f883e-d83,708456f9,brooksjessica,2024-11-03 10:32:20,Update: trust the process in my precinct. #Election2024,71,74,38,52,2015-09-08,Rural,False,en-US
9ee36bc6-d74,4502dfd2,dustin09,2024-11-02 10:57:47,Voter turnout steady in my area.,40,49,32,5793,2016-05-30,Miami,False,es
